VMAF,SSIM,PSNR,VIFp,MS-SSIM,PSNR-HVS,PSNR-HVS-M
76.60422699,0.95061,33.893757,0.611111,0.982407,28.833967,30.298409
77.98892598,0.952755,34.684319,0.615315,0.983779,29.776178,31.567673
81.36743391,0.954733,35.812073,0.622222,0.98534,31.181496,33.582108
80.8265727,0.954359,35.590878,0.62173,0.985031,30.920906,33.138935
79.58267254,0.952423,34.445744,0.617254,0.983449,29.400455,30.977901
76.96869473,0.95017,33.191986,0.607574,0.981152,28.011677,29.221809
76.81096946,0.950265,33.152779,0.60727,0.981146,27.945677,29.143641
73.2638191,0.946167,31.821289,0.591607,0.977179,26.662458,27.657598
71.1012105,0.942301,30.887884,0.58128,0.973725,25.679255,26.530516
67.26355952,0.932641,29.402353,0.559182,0.964733,24.218285,24.906099
66.04191376,0.929564,29.126745,0.551574,0.961872,23.984138,24.661667
64.95942376,0.925785,28.911526,0.544554,0.959447,23.719492,24.386513
64.44788446,0.924061,28.84491,0.542229,0.958288,23.655766,24.323429
64.07123651,0.923036,28.786095,0.539413,0.958569,23.529016,24.20376
66.04655964,0.927267,29.953291,0.544536,0.963558,24.759769,25.610853
73.69939855,0.943407,32.351128,0.583388,0.975669,27.334763,28.595119
73.08686103,0.94195,31.962519,0.581571,0.974958,26.876074,28.049793
70.94614642,0.938655,31.243769,0.573802,0.972036,25.891407,26.85149
75.03009546,0.948119,33.573326,0.598534,0.980008,28.493876,29.990223
73.92617876,0.946917,33.107121,0.594245,0.978531,27.961985,29.321444
76.0116145,0.949564,34.237968,0.601371,0.980447,29.307035,30.983164
79.8448057,0.953159,35.61058,0.61247,0.983832,30.962202,33.322598
77.34650559,0.949275,34.664211,0.599849,0.981307,29.74885,31.617039
80.05024353,0.953189,35.718948,0.613097,0.983895,31.093252,33.458687
80.25322513,0.953068,35.755119,0.613136,0.983681,31.121109,33.492462
76.98654634,0.945999,33.786652,0.597101,0.977326,28.667421,30.087177
74.01331205,0.943025,33.065369,0.586939,0.974224,27.903675,29.150986
73.01450141,0.941454,32.670052,0.582647,0.972504,27.443657,28.597723
72.52312384,0.940333,32.48848,0.579903,0.971404,27.292141,28.427813
70.17802163,0.935961,31.870697,0.565865,0.967729,26.689436,27.746515
69.55983559,0.934457,31.666607,0.561806,0.966378,26.47883,27.512548
