VMAF,SSIM,PSNR,VIFp,MS-SSIM,PSNR-HVS,PSNR-HVS-M
64.45478091,0.905007,31.680355,0.468685,0.965633,26.683451,28.342188
65.79230583,0.906964,31.909508,0.472601,0.966531,26.979094,28.72603
64.2006595,0.905597,31.518652,0.468752,0.965594,26.509619,28.098459
64.34265827,0.905067,31.490259,0.468253,0.965477,26.481297,28.078117
65.78480955,0.906382,31.779495,0.470832,0.966467,26.846579,28.58283
63.24816964,0.903732,31.203615,0.463642,0.964349,26.175228,27.693371
59.33853491,0.899194,29.919603,0.450948,0.956807,24.939768,26.090225
62.37453748,0.905387,30.734913,0.467082,0.962616,25.728203,27.03421
62.77230451,0.905579,30.993143,0.468091,0.963698,25.941265,27.325136
64.75362056,0.905968,31.292799,0.469851,0.964494,26.343716,27.856905
65.43337731,0.907929,31.590202,0.473883,0.965925,26.689274,28.299887
64.95720992,0.907564,31.216793,0.473986,0.964389,26.262112,27.702358
65.05814168,0.907747,31.239849,0.474178,0.964676,26.282017,27.73567
63.87377557,0.905726,31.035519,0.46998,0.964258,25.888315,27.25861
64.93605634,0.907556,31.424692,0.473273,0.96583,26.352293,27.855597
64.72034105,0.906679,31.094864,0.473045,0.964799,25.975975,27.363646
64.97506799,0.908332,31.420456,0.475427,0.965981,26.357523,27.875481
67.77469937,0.913745,32.347343,0.48725,0.969571,27.474091,29.313541
62.68419287,0.904457,30.619095,0.465249,0.960401,25.515657,26.762167
61.293544,0.900783,30.244789,0.462601,0.955799,25.063715,26.193846
62.41997843,0.902449,30.503685,0.467434,0.957186,25.331949,26.521692
63.81464957,0.903697,30.759031,0.469925,0.958135,25.618778,26.880116
64.52883984,0.905949,30.982512,0.472218,0.962021,25.807013,27.122202
64.88892097,0.906343,31.105267,0.473496,0.961391,25.990765,27.343985
66.1220402,0.909253,31.527952,0.479672,0.963779,26.476151,27.931292
67.41388135,0.912633,32.052402,0.48498,0.967846,26.989756,28.61503
65.26118219,0.910523,31.74847,0.476451,0.965273,26.756969,28.316847
66.85640243,0.913422,32.082478,0.484597,0.967692,27.106155,28.760578
67.88202888,0.914323,32.324787,0.487691,0.96896,27.369316,29.130358
69.60462908,0.9163,32.645706,0.494974,0.970558,27.77037,29.63945
70.00727849,0.916855,32.791275,0.496779,0.970855,27.951525,29.875404
70.29373648,0.917147,32.816639,0.49724,0.971116,27.976713,29.915955
70.62411926,0.917693,32.855129,0.498773,0.97127,28.017723,29.967081
69.96436473,0.917171,32.735214,0.495175,0.970885,27.874638,29.789528
69.62994105,0.916797,32.662277,0.493428,0.97041,27.796497,29.692003
68.53436195,0.914517,32.437469,0.486644,0.9688,27.536091,29.362888
69.20541937,0.915974,32.523495,0.49194,0.968077,27.64229,29.43944
59.84350636,0.896028,30.263315,0.445033,0.95209,25.004789,26.166719
60.30881182,0.898037,30.456558,0.448046,0.954178,25.213593,26.41328
60.40752853,0.898682,30.572081,0.448157,0.954199,25.337612,26.558636
61.10353048,0.899854,30.705158,0.449743,0.955641,25.476227,26.73707
61.55049425,0.902431,30.983362,0.454327,0.95769,25.794956,27.120018
61.79867101,0.903349,31.175848,0.455839,0.958592,26.013653,27.396206
62.03773388,0.904953,31.381804,0.458261,0.960343,26.249641,27.69487
58.50505056,0.893456,30.226662,0.437446,0.95125,24.883806,26.01232
60.01254564,0.900521,30.944901,0.448555,0.957382,25.713425,27.019341
60.54905972,0.902433,31.224197,0.452745,0.959321,26.043699,27.432459
60.00068309,0.901508,31.055077,0.451514,0.958534,25.859568,27.198212
61.14514488,0.902099,31.015287,0.454313,0.958844,25.795864,27.097914
64.97278989,0.910072,31.952543,0.474709,0.965558,26.864298,28.442669
66.02657234,0.911775,32.258034,0.480926,0.967185,27.225933,28.92943
65.84622378,0.910959,31.975922,0.478922,0.966197,26.912539,28.490049
61.06269504,0.903636,29.800997,0.465057,0.95552,24.6945,25.697378
63.32886332,0.905951,30.136461,0.473179,0.958104,25.073694,26.154566
65.31034057,0.909985,31.727018,0.483553,0.964356,26.537754,27.977383
67.4152784,0.913773,32.042976,0.493103,0.9661,26.86665,28.331861
68.34146021,0.914853,32.330452,0.495756,0.966659,27.267138,28.848475
70.01521069,0.91753,32.783707,0.501707,0.969138,27.80628,29.569479
70.48126386,0.918771,32.925446,0.50439,0.970186,28.002296,29.846949
69.84370302,0.918121,32.713146,0.502079,0.969484,27.752298,29.506269
70.71652835,0.920023,33.005867,0.507339,971,28.085443,29.942917
68.65249797,0.917845,32.484886,0.501565,0.969483,27.381172,29.025639
69.2215854,0.921026,32.702984,0.509111,0.971013,27.647635,29.339125
70.2598659,0.921963,32.941719,0.511858,0.971706,27.96294,29.752392
68.7337718,0.919463,32.54628,0.504757,0.969428,27.483675,29.103874
68.64677704,0.919654,32.462318,0.50455,0.969045,27.367456,28.9167
70.31688048,0.923145,33.027054,0.513545,0.971802,28.058689,29.817259
62.46976674,0.901673,30.574232,0.472287,0.95288,25.189287,26.200081
60.75969865,0.891247,29.601809,0.460934,0.941953,24.099112,24.915741
