VMAF,SSIM,PSNR,VIFp,MS-SSIM,PSNR-HVS,PSNR-HVS-M
58.99849216,0.885591,30.535755,0.424833,0.955285,25.437185,26.893024
57.91720422,0.885819,30.352882,0.424625,0.954845,25.252588,26.650869
58.36200906,0.886284,30.472002,0.425409,0.955256,25.384674,26.818878
57.13149639,0.88466,30.035776,0.421625,0.953338,24.87966,26.186211
57.22422939,0.885063,30.292616,0.421435,0.954087,25.177532,26.564529
55.6437188,0.883283,30.047937,0.416655,0.952682,24.899832,26.227192
53.93629978,0.880878,29.549068,0.411641,0.950095,24.33106,25.521984
58.67480154,0.889917,30.129566,0.430836,0.956136,24.953932,26.223686
59.5194229,0.891263,30.291042,0.434663,0.956835,25.127001,26.432394
59.45159462,0.890832,30.159557,0.433884,0.955886,25.028593,26.291937
60.187789,0.891768,30.7458,0.434733,0.957969,25.646072,27.088121
60.54369461,0.89311,30.923847,0.437751,0.95877,25.877029,27.383593
61.88859032,0.895135,31.244709,0.441803,0.96018,26.219477,27.824114
60.58492744,0.892964,30.776688,0.438462,0.957686,25.672979,27.096972
61.62036694,0.895043,31.130775,0.441616,0.959932,26.055412,27.605459
61.66543574,0.89452,31.074999,0.4403,0.959551,25.9673,27.502483
59.22301756,0.890841,30.312706,0.43452,0.956666,25.072742,26.369526
61.7721181,0.895771,31.239723,0.443106,0.960522,26.152355,27.748823
63.83082569,0.898977,31.498896,0.451724,0.962682,26.429193,28.059189
62.52521666,0.897471,31.102757,0.448242,0.960584,25.994736,27.485796
61.12174806,0.894084,30.574135,0.439657,0.957137,25.40167,26.732883
63.11004038,0.897708,31.31942,0.447406,0.96073,26.232244,27.799282
61.99250233,0.893597,30.658609,0.441196,0.954477,25.531027,26.876875
61.88801772,0.893781,30.720331,0.440475,0.955071,25.567575,26.926062
62.88463103,0.895376,30.971716,0.443302,0.957406,25.821274,27.244068
62.5971159,0.897478,31.306486,0.445266,0.959556,26.213324,27.760046
62.70795151,0.897573,31.181194,0.44706,0.959791,26.028231,27.506729
64.40820159,0.900607,31.511663,0.455765,0.961995,26.434895,27.98987
64.55829956,0.900748,31.575129,0.454707,0.962424,26.513763,28.124226
63.91262724,0.899725,31.427122,0.451019,0.961479,26.341534,27.908424
66.06619681,0.903257,31.939049,0.461787,0.964297,26.945082,28.663935
66.33843946,0.90348,31.982691,0.462369,0.964556,26.991213,28.725258
65.95095356,0.903029,31.886589,0.459207,0.963842,26.890953,28.593512
65.95613066,0.903086,31.889158,0.459633,0.963923,26.89003,28.595085
65.99245654,0.903185,31.94486,0.461246,0.964126,26.950489,28.672638
66.12111424,0.902917,31.944807,0.461588,0.963511,26.948507,28.663454
66.51781177,0.903418,31.779432,0.464082,0.962279,26.744987,28.368439
67.8287898,0.906303,32.174355,0.470794,0.965836,27.211758,28.975925
67.74748537,0.906871,32.21479,0.4717,0.966047,27.254219,29.029104
67.32897162,0.9064,32.090343,0.468801,0.964849,27.115618,28.840424
67.82857194,0.907281,32.175629,0.471219,0.96607,27.200382,28.964266
68.5328287,0.908284,32.319157,0.474978,0.967146,27.366642,29.178188
67.84557442,0.907417,32.181919,0.471478,0.966523,27.198704,28.963661
68.20877692,0.907565,32.187416,0.471682,0.966803,27.204954,28.970795
67.03899689,0.905857,32.016174,0.466979,0.96555,26.988747,28.680037
66.20266836,0.904962,31.826544,0.464089,0.964641,26.746653,28.356861
70.81777107,0.914752,32.791004,0.492072,0.970547,27.890455,29.801966
70.65650726,0.914242,32.768024,0.490355,0.970186,27.862888,29.757826
68.51188707,0.910708,32.26907,0.478597,0.967452,27.228233,28.906752
66.34837667,0.907206,31.794025,0.469117,0.96473,26.659935,28.171782
71.52439342,0.916552,32.899654,0.496875,0.971195,28.024153,29.95639
71.78378377,0.917938,32.979904,0.500606,0.971783,28.118046,30.0793
68.94971861,0.916068,32.328651,0.494106,0.969299,27.329103,28.950455
72.72722552,0.92258,33.078098,0.514789,0.973717,28.181793,30.022053
73.71982266,0.92614,31.692327,0.530053,0.97319,26.844294,28.143738
72.40563911,0.929162,30.992403,0.542946,0.968884,26.001471,26.992414
74.54219113,0.931486,33.210796,0.547219,0.975913,28.068844,29.593561
78.90956175,0.939112,34.745232,0.567772,0.980599,30.156479,32.45118
77.57824626,0.937367,34.215931,0.563262,0.978475,29.501245,31.481049
77.80735983,0.938194,34.351677,0.565027,0.979579,29.675753,31.75046
79.27320617,0.939773,34.652397,0.570934,0.981026,30.057056,32.304832
80.45119983,0.940998,35.00053,0.576278,0.981902,30.456516,32.866726
79.25701843,0.939708,34.666992,0.570692,0.980975,30.007097,32.229496
81.50296606,0.944151,35.303303,0.588207,0.983059,30.783503,33.255241
80.86583398,0.943747,35.190739,0.585293,0.982628,30.647369,33.038738
78.6418257,0.940885,34.519222,0.572379,0.980365,29.771589,31.808491
80.72333854,0.943572,35.124794,0.583403,0.982405,30.544134,32.881878
80.13740235,0.942801,34.991108,0.580057,0.981766,30.366577,32.60297
71.844852,0.919316,31.662319,0.526423,0.964655,26.331882,27.40848
68.41825513,0.906139,30.391159,0.507686,0.953948,24.91667,25.778959
75.26496184,0.931712,33.191277,0.547234,0.973713,28.148727,29.631659
83.38659269,0.946078,35.545734,0.594339,0.98315,31.137283,33.669186
60.81524863,0.853735,22.664028,0.456854,0.875835,17.901293,18.106339
70.14465624,0.877023,21.888401,0.48793,0.840021,17.442722,17.598734
65.64607749,0.868242,22.36623,0.471621,0.810586,17.800068,17.978996
56.99627833,0.823242,20.219891,0.431367,0.713476,15.569831,15.711407
54.38391039,0.840153,22.54607,0.429116,0.75266,17.619877,17.822233
59.36109327,0.879692,25.623625,0.467737,0.873452,20.560932,20.870419
55.97550548,0.85725,23.52533,0.450851,0.817002,18.591906,18.810205
64.26490519,0.899534,27.439278,0.494162,0.917155,22.371695,22.773405
60.30038985,0.88745,25.07585,0.478859,0.858366,20.123741,20.399685
57.87262345,0.87271,24.260244,0.460748,0.832796,19.38236,19.633221
58.01228806,0.878746,25.921484,0.463896,0.87088,20.71213,21.066114
