VMAF,SSIM,PSNR,VIFp,MS-SSIM,PSNR-HVS,PSNR-HVS-M
60.56694176,0.884582,30.712418,0.424922,0.957052,25.782919,27.370127
59.65848192,0.884916,30.570013,0.423765,0.956875,25.60261,27.143854
60.10544089,0.885512,30.674784,0.425137,0.957203,25.734377,27.308062
57.38568859,0.882147,29.801931,0.420056,0.95367,24.783266,26.060381
58.1173406,0.883095,30.191027,0.420763,0.954727,25.16291,26.567314
55.86650436,0.880018,29.413227,0.413454,0.951559,24.376791,25.579807
54.61575916,0.877517,28.92395,0.408403,0.94834,23.854763,24.947929
56.78078309,0.884885,29.429823,0.421206,0.953772,24.278877,25.426003
56.79214677,0.885545,29.201075,0.423418,0.951979,24.200462,25.306356
56.21774748,0.884342,29.041903,0.420487,0.950147,24.067425,25.140432
57.90458529,0.885644,29.746927,0.422321,0.953543,24.62303,25.846609
59.86212264,0.888706,30.425913,0.429879,0.956495,25.441103,26.855507
60.38096772,0.890394,30.423691,0.434458,0.957365,25.400219,26.795671
60.63549421,0.890145,30.353949,0.434233,0.957016,25.367683,26.743338
61.06637588,0.891202,30.688459,0.43488,0.958936,25.678741,27.170959
60.87663515,0.890501,30.600765,0.434114,0.958692,25.544907,26.995211
58.34372496,0.887109,29.882942,0.427995,0.955137,24.66782,25.894867
60.09444079,0.89129,30.561333,0.435541,0.958577,25.502048,26.961739
63.81597335,0.896947,31.227373,0.449879,0.962005,26.222025,27.819254
62.32990837,0.89551,30.835466,0.446599,0.959612,25.791195,27.244856
61.42281436,0.892905,30.556747,0.439948,0.957418,25.477491,26.840616
63.9656463,0.897175,31.378693,0.448888,0.961899,26.397919,28.034409
63.62306648,0.895935,31.226238,0.447608,0.959413,26.255348,27.830746
62.34447275,0.89291,30.808271,0.441718,0.95617,25.75634,27.178001
63.57317373,0.896926,31.400286,0.447119,0.960619,26.424084,28.048243
65.20418341,0.89922,31.752228,0.452907,0.962442,26.828571,28.561831
63.18324364,0.897242,31.309282,0.448221,0.960433,26.24066,27.78167
65.57998594,0.90159,31.643387,0.459584,0.963703,26.682272,28.319427
65.37990125,0.901483,31.689253,0.457073,0.963597,26.759188,28.434683
65.03683404,0.900679,31.566765,0.454819,0.963085,26.602234,28.229034
66.66339806,0.903118,31.966795,0.46197,0.965118,27.093063,28.866131
67.15763092,0.903885,32.050117,0.464852,0.965733,27.186174,28.979813
66.944289,0.903535,31.998753,0.463325,0.96537,27.125198,28.905836
66.77658614,0.903116,31.911667,0.460947,0.96474,27.029171,28.797697
66.48496349,0.903176,31.928528,0.461958,0.964814,27.038723,28.804888
66.50957226,0.902731,31.910696,0.461861,0.963569,27.014675,28.754066
66.2369832,0.903042,31.668549,0.462647,0.961147,26.718586,28.331425
66.8863428,0.904374,31.771965,0.465648,0.964463,26.800709,28.450218
67.99338235,0.906791,32.209309,0.471544,0.966418,27.330746,29.153227
67.44480992,0.906799,32.137215,0.470336,0.966103,27.246746,29.041061
68.33329152,0.907876,32.323563,0.474304,0.967504,27.467386,29.326393
68.52017284,0.908159,32.343933,0.475053,0.967827,27.48049,29.344177
67.9441585,0.907507,32.222401,0.472378,0.967393,27.32494,29.145084
68.22921288,0.907381,32.243099,0.473251,0.967641,27.35202,29.18833
65.17665461,0.90181,31.594311,0.456667,0.96344,26.536325,28.110802
65.41785518,0.902689,31.501179,0.45954,0.96329,26.416744,27.940502
66.98863491,0.905745,31.875856,0.467351,0.965714,26.872679,28.531979
67.89355405,0.908361,32.18145,0.473498,0.967634,27.23032,29.005079
69.41000417,0.910797,32.478218,0.481576,0.969323,27.600842,29.482714
61.98822217,0.892938,30.52389,0.440802,0.955407,25.280962,26.518728
69.63781184,0.912352,32.426018,0.483728,0.969926,27.513622,29.327003
69.48759917,0.913483,32.419491,0.487008,0.969925,27.494242,29.277399
66.325227,0.908772,31.60548,0.47437,0.965347,26.537922,27.996546
70.37285639,0.91569,32.604259,0.494697,0.970831,27.719852,29.513813
74.43395413,0.925357,33.416542,0.527299,0.973873,28.710701,30.615566
73.43141173,0.9254,33.079441,0.527502,0.972405,28.281485,30.003527
72.1769153,0.923855,32.725719,0.523233,0.972969,27.617796,29.155888
74.04181845,0.926067,33.274525,0.5303,0.974437,28.361713,30.130722
76.17251337,0.930861,34.00703,0.541503,0.977661,29.382158,31.551628
75.37497763,0.930517,33.701153,0.541351,0.97603,28.995825,30.935371
76.60066741,0.932674,34.043541,0.54749,0.978219,29.406849,31.5527
77.71392397,0.933787,34.302197,0.5513,0.978877,29.730322,31.986748
78.46994723,0.93782,34.429974,0.563296,0.979913,29.822472,32.00354
79.3967962,0.939381,34.619537,0.570268,0.980976,30.021339,32.271023
