VMAF,SSIM,PSNR,VIFp,MS-SSIM,PSNR-HVS,PSNR-HVS-M
45.70474423,0.859079,26.346661,0.379835,0.908895,21.009027,21.628872
46.19792461,0.85988,26.3687,0.380747,0.909555,21.022213,21.645605
46.41517362,0.85993,26.45138,0.380724,0.910595,21.071718,21.707834
46.58170715,0.859725,26.48848,0.380584,0.910219,21.116716,21.757452
46.80783261,0.860316,26.703482,0.380975,0.912215,21.297697,21.968931
47.09690194,0.861444,26.987614,0.381194,0.914158,21.561131,22.266783
47.60077895,0.86196,27.214725,0.381835,0.915196,21.802668,22.538759
47.7173364,0.861863,27.456999,0.381583,0.916669,21.990925,22.747768
48.18204867,0.861156,27.568707,0.380528,0.916706,22.048229,22.816904
49.39467379,0.860652,27.694542,0.380728,0.915184,22.197895,22.972006
49.30674215,0.860579,27.69178,0.380923,0.914201,22.225527,22.997263
49.2084827,0.86046,27.689228,0.380513,0.914089,22.218004,22.987776
49.2391329,0.859683,27.654888,0.37964,0.913909,22.204115,22.973858
49.60240718,0.861132,27.764496,0.382045,0.916074,22.336761,23.117771
49.68727156,0.863106,27.887739,0.384805,0.918142,22.485579,23.282274
50.51265801,0.866006,28.016581,0.389108,0.920681,22.637108,23.45558
50.9650275,0.867859,28.065098,0.391794,0.923218,22.691658,23.517458
50.53648907,0.869476,28.027075,0.39432,0.925397,22.617968,23.434731
50.06919478,0.870421,28.079784,0.395854,0.926699,22.670555,23.500998
49.51387914,0.87057,28.085485,0.395991,0.92689,22.670256,23.504311
50.08151329,0.872418,28.195065,0.398918,0.928422,22.786694,23.637398
52.21279449,0.876216,28.467775,0.405092,0.933296,23.092487,23.988127
53.01691031,0.879136,28.746099,0.409056,0.936753,23.41328,24.353083
53.95710014,0.880678,28.934734,0.412052,0.936741,23.664394,24.633606
54.73694735,0.8839,29.216644,0.4166,0.939919,23.999371,25.015532
56.73958771,0.889105,29.761736,0.424966,0.946964,24.577095,25.710169
57.15321911,0.891593,29.990925,0.429261,0.949997,24.82486,26.017418
57.93065409,0.892657,30.163645,0.431221,0.951629,24.987026,26.222502
58.92528606,0.894466,30.397808,0.435159,0.95378,25.238937,26.532833
60.44774959,0.895729,30.602697,0.438674,0.955054,25.469669,26.812965
60.6262818,0.895497,30.598972,0.438868,0.954792,25.455645,26.79232
60.97842626,0.896015,30.659731,0.440193,0.955353,25.527206,26.879698
61.28582886,0.896452,30.709921,0.441546,0.955854,25.582417,26.949142
62.21496263,0.898641,30.935091,0.446732,0.957449,25.854774,27.276516
62.33046509,0.899699,31.043276,0.449155,0.958429,25.980091,27.434065
63.0872013,0.901152,31.207989,0.453702,0.960544,26.16016,27.661314
63.71152929,0.902592,31.374147,0.456951,0.962804,26.338631,27.894184
65.18942038,0.905069,31.777176,0.462258,0.965089,26.807327,28.505764
65.61993495,0.905874,31.860237,0.464527,0.965732,26.893988,28.614943
65.2364749,0.90559,31.794983,0.462908,0.964948,26.816273,28.515152
64.74765181,0.904723,31.652246,0.459759,0.963725,26.663286,28.315554
62.81340019,0.901967,31.286934,0.451092,0.960616,26.230682,27.765577
62.24269446,0.901097,31.187389,0.448137,0.960015,26.100428,27.61132
61.57322046,0.89962,31.001595,0.444537,0.958939,25.871471,27.331514
60.16958085,0.895841,30.62097,0.436021,0.955705,25.415453,26.770697
57.86597816,0.889124,29.996353,425,0.950046,24.690437,25.875645
56.88051196,0.88594,29.705296,0.420183,0.947146,24.352749,25.469757
55.45598734,0.881393,29.307911,0.413234,0.942794,23.900158,24.936033
54.00014092,0.876346,28.916599,0.406444,0.937524,23.45001,24.407049
51.43367122,0.865154,28.061752,0.393395,0.924674,22.502581,23.30533
50.48641888,0.860008,27.710932,0.387899,0.918626,22.135906,22.888721
48.85434823,0.854519,27.325542,0.382271,0.91144,21.737963,22.432306
48.56532245,0.854029,27.308437,0.381598,0.91121,21.721817,22.416821
46.10670809,0.842118,26.551279,0.368099,0.895065,20.942495,21.550306
44.67939878,0.838771,25.961412,0.364363,0.888665,20.420229,20.976936
44.00078886,0.837161,25.787489,0.362618,0.884989,20.271986,20.812643
43.36379871,0.834975,25.625275,0.360454,0.8804,20.139917,20.665411
42.94935177,0.834573,25.588133,0.359429,0.880069,20.095066,20.614878
43.10880133,0.835306,25.608088,0.359495,0.880263,20.113216,20.634333
42.68408116,0.835361,25.586374,0.359425,0.880098,20.092316,20.612804
42.61979483,0.835579,25.583477,0.359633,0.879916,20.09231,20.61146
42.5005483,0.834985,25.523842,0.359483,0.878313,20.041071,20.553833
42.07669515,0.832481,25.419674,0.356988,0.874901,19.93421,20.439388
41.73679594,0.830931,25.334972,0.355465,0.872301,19.849018,20.347113
41.69538109,0.829739,25.260973,0.354267,0.869915,19.76783,20.258648
41.57291087,0.827841,25.139225,0.352698,0.866347,19.636679,20.117748
41.82901474,0.827122,25.061695,0.352304,0.863985,19.563593,20.039427
41.80091437,0.825755,24.949364,0.351839,0.860185,19.459148,19.926485
41.69836801,0.824844,24.827383,0.351397,0.855767,19.35421,19.810741
42.20244948,0.82156,24.503828,0.348572,0.842165,19.102306,19.533758
41.7741814,0.819359,24.2686,0.345838,0.830777,18.928587,19.339958
41.16550143,0.816766,23.975075,0.343389,0.814807,18.708248,19.095512
40.4000265,0.81407,23.531626,0.339188,0.791454,18.375078,18.729437
39.30294969,0.783067,20.290804,0.312913,0.692306,15.537777,15.734363
38.37238518,0.762603,18.937284,0.303284,0.604123,14.251497,14.40694
36.89201419,0.755911,19.559492,0.292008,0.571266,14.71019,14.893145
35.65478018,0.746041,18.901129,0.285375,0.512366,14.080366,14.244308
34.31992163,0.738114,18.344666,0.27801,0.458514,13.61439,13.763002
33.67783557,0.735423,18.358179,0.275062,0.449915,13.626965,13.776674
31.01104482,0.733283,18.364319,0.273624,0.442826,13.63922,13.788825
